timestamp,open,high,low,close,adjusted close,volume,dividend amount
2008-05-30,121.0600,129.9900,120.7800,129.4300,92.6332,159517500,0.5000
2008-04-30,115.1400,125.0000,113.8600,120.7000,86.0386,192087200,0.0000
2008-03-31,114.0900,119.7900,111.8000,115.1400,82.0753,179284200,0.0000
2008-02-29,107.2100,116.6300,100.6000,113.8600,81.1628,168280800,0.4000
2008-01-31,108.9900,108.9900,97.0400,107.1100,76.0576,247523900,0.0000
2007-12-31,105.4500,112.1900,104.0000,108.1000,76.7605,134151600,0.0000
2007-11-30,115.5000,116.0900,99.2700,105.1800,74.6871,200920600,0.4000
2007-10-31,117.6100,121.4600,110.9600,116.1200,82.1596,171669000,0.0000
2007-09-28,116.3400,118.8900,114.3000,117.8000,83.3483,132233800,0.0000
2007-08-31,110.3900,117.3500,103.7000,116.6900,82.5629,202871500,0.4000
2007-07-31,105.3900,118.8200,104.5800,110.6500,78.0131,212757600,0.0000
2007-06-29,106.6200,107.2400,101.5600,105.2500,74.2059,169602000,0.0000
2007-05-31,102.0600,108.0500,101.3500,106.6000,75.1577,146441400,0.4000
2007-04-30,94.5100,103.0000,93.9110,102.2100,71.7846,166807200,0.0000
2007-03-30,90.2500,95.8100,88.7700,94.2600,66.2011,163194500,0.0000
2007-02-28,98.9700,100.4400,92.4700,92.9400,65.2740,125776200,0.3000
2007-01-31,97.1700,100.9000,94.5500,99.1500,69.4262,192702000,0.0000
2006-12-29,91.9000,97.8800,90.5500,97.1500,68.0258,104470200,0.0000
2006-11-30,92.5000,94.0500,90.4300,91.9200,64.3637,104430000,0.3000
2006-10-31,81.7600,92.6800,81.5600,92.3300,64.4420,170367300,0.0000
2006-09-29,81.1300,83.7900,79.3100,81.9400,57.1902,102776100,0.0000
2006-08-31,76.8600,81.6800,74.9000,80.9700,56.5132,100880300,0.3000
2006-07-31,77.5400,78.5300,72.7300,77.4100,53.8142,137188300,0.0000
2006-06-30,79.8900,80.8700,76.0600,76.8200,53.4040,139457800,0.0000
2006-05-31,82.5900,83.6900,79.0000,79.9000,55.5452,113146500,0.3000
2006-04-28,82.7200,84.4500,80.6300,82.3400,57.0350,114007000,0.0000
2006-03-31,80.0100,84.9900,79.5100,82.4700,57.1251,111514900,0.0000
2006-02-28,80.9000,82.2400,78.9300,80.2400,55.5804,111052200,0.2000
2006-01-31,82.4500,85.0300,80.2100,81.3000,56.1756,146491600,0.0000
2005-12-30,89.1500,89.9200,81.5600,82.2000,56.7975,120052400,0.0000
2005-11-30,81.8500,89.9400,80.6400,88.9000,61.4270,110664500,0.2000
2005-10-31,80.2200,84.6000,78.7000,81.8800,56.4406,139881800,0.0000
2005-09-30,80.1600,82.1100,76.9300,80.2200,55.2964,115681400,0.0000
2005-08-31,83.0000,84.2000,79.8700,80.6200,55.5721,105031100,0.2000
2005-07-29,74.3000,85.1100,74.1600,83.4600,57.3920,156801500,0.0000
2005-06-30,75.5700,77.7300,73.4500,74.2000,51.0243,135542800,0.0000
2005-05-31,76.8800,78.1100,72.5000,75.5500,51.9526,138416000,0.2000
2005-04-29,91.4900,91.7600,71.8500,76.3800,52.3842,216745500,0.0000
2005-03-31,92.6400,93.7300,89.0900,91.3800,62.6717,106145200,0.0000
2005-02-28,93.6700,94.9700,91.5500,92.5800,63.4947,79707700,0.1800
2005-01-31,98.9700,99.1000,91.4400,93.4200,63.9486,114459000,0.0000
2004-12-31,94.5000,99.0000,94.4700,98.5800,67.4807,108170400,0.0000
2004-11-30,89.3300,96.6300,89.2300,94.2400,64.5099,114982100,0.1800
2004-10-29,85.9500,90.2700,84.2900,89.7500,61.3181,118116100,0.0000
2004-09-30,84.0500,87.2800,83.2400,85.7400,58.5785,93906300,0.0000
2004-08-31,86.8700,87.3900,81.9000,84.6900,57.8611,91169700,0.1800
2004-07-30,88.2800,88.4400,83.4200,87.0700,59.3591,121001000,0.0000
2004-06-30,88.0900,91.2100,87.3000,88.1500,60.0954,91968600,0.0000
2004-05-28,88.1300,89.7500,85.1200,88.5900,60.3954,104707300,0.1800
2004-04-30,91.6700,94.5500,88.0100,88.1700,59.9868,110632000,0.0000
2004-03-31,96.5000,97.6000,90.2800,91.8400,62.4837,124483700,0.0000
2004-02-27,99.1500,100.4300,95.2000,96.5000,65.6542,97741900,0.1600
2004-01-30,92.8600,99.8500,89.0100,99.2300,67.4026,139368500,0.0000
2003-12-31,90.9000,94.1200,90.0300,92.6800,62.9534,116103600,0.0000
2003-11-28,89.9000,91.4800,87.7200,90.5400,61.4998,97966100,0.1600
2003-10-31,88.7500,94.5400,87.5300,89.4800,60.6712,156145400,0.0000
2003-09-30,82.4000,93.4700,82.3000,88.3300,59.8914,171943100,0.0000
2003-08-29,81.1500,84.7200,78.7300,82.0100,55.6062,113895200,0.1600
2003-07-31,81.4000,87.0300,80.5800,81.2500,54.9806,153915600,0.0000
2003-06-30,89.0000,89.0800,79.8100,82.5000,55.8264,184488300,0.0000
2003-05-30,85.3000,90.4000,84.4500,88.0400,59.5753,149548000,0.1600
2003-04-30,78.5000,86.4900,78.1200,84.9000,57.3446,177874300,0.0000
2003-03-31,78.9000,84.9000,73.1700,78.4300,52.9745,191937200,0.0000
2003-02-28,78.2000,80.0500,74.3100,77.9500,52.6503,145672700,0.1500
2003-01-31,78.8000,88.9500,77.0200,78.2000,52.7172,193933500,0.0000
2002-12-31,88.6000,89.4600,75.6000,77.5000,52.2453,151563500,0.0000
2002-11-29,78.9000,88.1100,76.7000,86.9200,58.5956,184438100,0.1500
2002-10-31,59.2000,79.7900,54.0100,78.9400,53.1183,285626300,0.0000
2002-09-30,74.2000,77.5000,57.9900,58.3100,39.2365,185664400,0.0000
2002-08-30,70.4000,82.8500,65.8500,75.3800,50.7228,166322300,0.1500
2002-07-31,72.0100,74.2000,65.7000,70.4000,47.2693,246256900,0.0000
2002-06-28,80.7500,80.9500,66.1000,72.0000,48.3436,190980700,0.0000
2002-05-31,83.8500,86.4900,75.9200,80.4500,54.0172,172738400,0.1500
2002-04-30,104.0000,104.0000,83.3400,83.7600,56.1376,246503300,0.0000
2002-03-28,98.6000,108.8500,98.5000,104.0000,69.7028,151268500,0.0000
2002-02-28,107.6400,109.3000,95.7600,98.1200,65.7619,172321000,0.1400
2002-01-31,120.6000,126.3900,101.0000,107.8900,72.2152,193562900,0.0000
2001-12-31,114.8000,124.7000,113.2100,120.9600,80.9634,133393800,0.0000
2001-11-30,107.2500,117.0000,106.9000,115.5900,77.3691,135136300,0.1400
2001-10-31,91.7200,112.1000,91.3400,108.0700,72.2468,224351500,0.0000
2001-09-28,100.1500,103.1300,87.4900,91.7200,61.3165,189312500,0.0000
2001-08-31,105.3500,110.0900,98.8600,99.9500,66.8184,143401500,0.1400
2001-07-31,113.5000,115.4000,101.5600,105.2100,70.2405,161016400,0.0000
2001-06-29,112.5000,119.0000,111.1000,113.5000,75.7750,142929700,0.0000
2001-05-31,115.8500,119.9000,110.9600,111.8000,74.6401,159356200,0.1400
2001-04-30,97.4500,118.0500,90.0500,115.1400,76.7786,226210900,0.0000
2001-03-30,99.3000,108.4000,87.6500,96.1800,64.1355,254550000,0.0000
2001-02-28,112.4000,118.6400,99.1000,99.9000,66.6161,156438900,0.1300
2001-01-31,84.5000,116.7500,83.7500,112.0000,74.6018,198962600,0.0000
2000-12-29,94.4400,104.7500,80.0600,85.0000,56.6174,167790700,0.0000
2000-11-30,98.4400,104.3700,91.6200,93.5000,62.2792,130411900,0.1300
2000-10-31,112.6200,119.6200,86.9400,98.5000,65.5244,223510000,0.0000
2000-09-29,133.0600,134.9400,110.2500,112.6200,74.9174,107468400,0.0000
2000-08-31,112.0000,134.2500,110.2500,132.0200,87.8227,121998000,0.1300
2000-07-31,108.7500,117.8100,100.0000,112.2500,74.5897,150130400,0.0000
2000-06-30,107.5600,122.3100,105.5000,109.5600,72.8022,136216300,0.0000
2000-05-31,112.5000,113.6200,102.0000,107.3100,71.3071,123803200,0.1300
2000-04-28,120.0000,128.0000,101.2500,111.5000,74.0037,168464800,0.0000
